num, data,estimation,floors_count,floor,total_meters,living_meters,kitchen_meters,rooms_count,year_of_construction, city, district, street, residential_complex,price,price_4,price_2,similar_apartment1,similar_apartment2,price_per_m2,feb_apr,apr_may,jun-jul,jul_aug
"1","09.06.24 15:45","6","20","14","87","45","5","2","2019","Воскресенск","Новлянский мкр","Новлянская","Отсутствует","1.1","-1.5","-2.2","https://voskresensk.cian.ru/sale/flat/300601006/","https://voskresensk.cian.ru/sale/flat/301348732/","116043","-2.3","0.8","-1.0","-1.2"
"2","09.06.24 15:45","6","20","14","87","45","5","2","2019","Воскресенск","Новлянский мкр","Новлянская","Отсутствует","1.1","-1.5","-2.2","https://voskresensk.cian.ru/sale/flat/300601006/","https://voskresensk.cian.ru/sale/flat/301348732/","116043","-2.3","0.8","-1.0","-1.2"
"3","09.06.24 15:45","6","20","14","87","45","5","2","2019","Воскресенск","Новлянский мкр","Новлянская","Отсутствует","1.1","-1.5","-2.2","https://voskresensk.cian.ru/sale/flat/300601006/","https://voskresensk.cian.ru/sale/flat/301348732/","116043","-2.3","0.8","-1.0","-1.2"
"4","09.06.24 15:45","6","20","14","87","45","5","2","2019","Воскресенск","Новлянский мкр","Новлянская","Отсутствует","1.1","-1.5","-2.2","https://voskresensk.cian.ru/sale/flat/300601006/","https://voskresensk.cian.ru/sale/flat/301348732/","116043","-2.3","0.8","-1.0","-1.2"
"5","09.06.24 15:45","7","20","14","112","45","5","2","2019","Воскресенск","Новлянский мкр","Новлянская","Отсутствует","12.7","-1.5","-2.2","https://voskresensk.cian.ru/sale/flat/298974895/","https://voskresensk.cian.ru/sale/flat/300929492/","113546","-2.3","0.8","-1.0","-1.2"
"6","09.06.24 15:46","8","20","14","112","71","5","2","2019","Воскресенск","Новлянский мкр","Новлянская","Отсутствует","13.7","-1.5","-2.2","https://voskresensk.cian.ru/sale/flat/298974895/","https://voskresensk.cian.ru/sale/flat/300929492/","122256","-2.3","0.8","-1.0","-1.2"
"7","09.06.24 16:05","9","17","15","114","54","8","2","2019","Долгопрудный","Отсутствует","проспект Пацаева","Отсутствует","19.2","-1.4","-2.3","https://dolgoprudny.cian.ru/sale/flat/300512243/","https://dolgoprudny.cian.ru/sale/flat/299942388/","168520","-2.3","0.9","-1.2","-1.1"
"8","09.06.24 16:10","4","18","14","45","33","6","2","2020","Видное","Видное","Ермолинская","Южное Видное","7.6","-1.5","-0.9","https://vidnoye.cian.ru/sale/flat/301606675/","https://vidnoye.cian.ru/sale/flat/301717035/","168522","-2.4","0.8","1.0","-1.9"
"9","09.06.24 16:24","8","7","3","29","19","5","2","2024","Балашиха","Отсутствует","Балашихинское шоссе","Лесной городок","4.5","-1.5","-2.7","https://balashikha.cian.ru/sale/flat/298492738/","https://balashikha.cian.ru/sale/flat/301836539/","156616","-2.3","0.8","-1.3","-1.3"
"10","09.06.24 16:26","8","7","3","29","19","5","2","2024","Балашиха","Отсутствует","Балашихинское шоссе","Лесной городок","4.5","-1.5","-2.7","https://balashikha.cian.ru/sale/flat/298492738/","https://balashikha.cian.ru/sale/flat/301836539/","156616","-2.3","0.8","-1.3","-1.3"
